2022-11-08 11:33:14,885 INFO    StreamThr :1985875 [internal.py:wandb_internal():91] W&B internal server running at pid: 1985875, started at: 2022-11-08 11:33:14.882010
2022-11-08 11:33:14,886 DEBUG   HandlerThread:1985875 [handler.py:handle_request():139] handle_request: status
2022-11-08 11:33:14,887 DEBUG   SenderThread:1985875 [sender.py:send_request():317] send_request: status
2022-11-08 11:33:14,888 INFO    WriterThread:1985875 [datastore.py:open_for_write():75] open: /uufs/chpc.utah.edu/common/home/u0403624/CondaQA_Private/src/Supervised/wandb/offline-run-20221108_113314-1pni0c4c/run-1pni0c4c.wandb
2022-11-08 11:33:14,968 DEBUG   HandlerThread:1985875 [handler.py:handle_request():139] handle_request: run_start
2022-11-08 11:33:14,984 DEBUG   HandlerThread:1985875 [system_info.py:__init__():31] System info init
2022-11-08 11:33:14,984 DEBUG   HandlerThread:1985875 [system_info.py:__init__():46] System info init done
2022-11-08 11:33:14,984 INFO    HandlerThread:1985875 [system_monitor.py:start():150] Starting system monitor
2022-11-08 11:33:14,984 INFO    SystemMonitor:1985875 [system_monitor.py:_start():116] Starting system asset monitoring threads
2022-11-08 11:33:14,984 INFO    HandlerThread:1985875 [system_monitor.py:probe():168] Collecting system info
2022-11-08 11:33:14,985 INFO    SystemMonitor:1985875 [interfaces.py:start():168] Started cpu
2022-11-08 11:33:14,985 INFO    SystemMonitor:1985875 [interfaces.py:start():168] Started disk
2022-11-08 11:33:14,985 INFO    SystemMonitor:1985875 [interfaces.py:start():168] Started gpu
2022-11-08 11:33:14,985 INFO    SystemMonitor:1985875 [interfaces.py:start():168] Started memory
2022-11-08 11:33:14,985 INFO    SystemMonitor:1985875 [interfaces.py:start():168] Started network
2022-11-08 11:33:15,037 DEBUG   HandlerThread:1985875 [system_info.py:probe():195] Probing system
2022-11-08 11:33:15,043 DEBUG   HandlerThread:1985875 [system_info.py:_probe_git():180] Probing git
2022-11-08 11:33:15,059 DEBUG   HandlerThread:1985875 [system_info.py:_probe_git():188] Probing git done
2022-11-08 11:33:15,059 DEBUG   HandlerThread:1985875 [system_info.py:probe():241] Probing system done
